query,route,mistral_7b_response,mistral_7b_category,correctness,defaulted_category,defaulted_correctness
describe the process of meiosis,wiki,1,wiki,True,wiki,True
describe the process of photosynthesis,wiki,1,wiki,True,wiki,True
describe the water cycle to me,wiki,1,wiki,True,wiki,True
did Al Gore win presidency,wiki,3,bing,False,bing,False
did Franklin Pierce ever married,wiki,1,wiki,True,wiki,True
discuss the benefits and drawbacks of Donald Trump when he was president of the United States,gemini,3,bing,False,bing,False
discuss whether or not the inflection point of AI has been reached,gemini,1,wiki,False,wiki,False
do beluga whale have teeth,wiki,1,wiki,True,wiki,True
do hurricanes form at the equator,wiki,1,wiki,True,wiki,True
do we yawn because we need more oxygen,wiki,1,wiki,True,wiki,True
do you agree that 2 plus 3 does not equal 2 times 3,gemini,2,gemini,True,gemini,True
does it hurt to give birth to a baby,wiki,2,gemini,False,gemini,False
does lightning always touch ground,wiki,1,wiki,True,wiki,True
does your bone marrow grow back,wiki,1,wiki,True,wiki,True
examples of dystopian fiction,wiki,1,wiki,True,wiki,True
explain a hook related to writing,wiki,2,gemini,False,gemini,False
explain ecosystems from the perspective of a frog,wiki,1,wiki,True,wiki,True
explain ecosystems from the perspective of a horse,wiki,1,wiki,True,wiki,True
explain pi r squared,wiki,1,wiki,True,wiki,True
explain primary colors to me as if I was a child,wiki,1,wiki,True,wiki,True
explain primary colors to me as if I was a college student,wiki,1,wiki,True,wiki,True
explain primary colors to me as if I was in grade 3,wiki,1,wiki,True,wiki,True
explain solving problems with variables,gemini,2,gemini,True,gemini,True
explain the Dark Ages,wiki,1,wiki,True,wiki,True
explain the historical relevance of the Dark Ages,wiki,1,wiki,True,wiki,True
Explain the law of motion,wiki,1,wiki,True,wiki,True
explain the lifecycle of rain,wiki,1,wiki,True,wiki,True
explain the water cycle,wiki,1,wiki,True,wiki,True
first president of the United States,wiki,1,wiki,True,wiki,True
give an example of force,wiki,1,wiki,True,wiki,True
give an example of push,wiki,1,wiki,True,wiki,True
give me a specific example of fear in The Crucible,wiki,1,wiki,True,wiki,True
Give me a summary of the Articles of the Constitution,wiki,1,wiki,True,wiki,True
give me one idea to stop students from vaping in a high school bathroom,gemini,2,gemini,True,gemini,True
give me some examples of central idea,gemini,1,wiki,False,wiki,False
give us a Black History Month fact,wiki,1,wiki,True,wiki,True
give us the NBA schedule for February 15th 2024,bing,3,bing,True,bing,True
help me understand photosynthesis,wiki,1,wiki,True,wiki,True
how big is Norman Island in area,wiki,1,wiki,True,wiki,True
how big was the first computer,wiki,1,wiki,True,wiki,True
how can I make more money,gemini,2,gemini,True,gemini,True
how can I solve an equation,gemini,2,gemini,True,gemini,True
how can I tell if a number is divisible by 9,gemini,1,wiki,False,wiki,False
how did Abraham Lincoln die,wiki,3,bing,False,bing,False
how did the Anglo-Saxons come to be,wiki,1,wiki,True,wiki,True
how did the Middle Ages and the Renaissance Era differ,wiki,1,wiki,True,wiki,True
how did the world population respond to the Green Revolution,wiki,1,wiki,True,wiki,True
how did Trotsky die,wiki,3,bing,False,bing,False
how do elephants communicate with their trunks,wiki,1,wiki,True,wiki,True
how do frogs play a role in their environment,wiki,1,wiki,True,wiki,True
how do I code,gemini,2,gemini,True,gemini,True
how do I create a Google Docs,gemini,2,gemini,True,gemini,True
how do I find Orion,gemini,2,gemini,True,gemini,True
how do I make a glass bowl,gemini,2,gemini,True,gemini,True
how do I make a pound cake,gemini,2,gemini,True,gemini,True
how do I program website,gemini,2,gemini,True,gemini,True
how do I solve one step equations,gemini,2,gemini,True,gemini,True
how do I study for end-of-grade test,gemini,2,gemini,True,gemini,True
how do I tell wind speed by using isobar,wiki,2,gemini,False,gemini,False
how do school districts get hacked,gemini,1,wiki,False,wiki,False
how do we play soccer,wiki,2,gemini,False,gemini,False
how do we tell the wind speed,wiki,2,gemini,False,gemini,False
how do we use the electromagnetic spectrum to produce Vape detecting machines,gemini,1,wiki,False,wiki,False
how do you apply the grid method,gemini,2,gemini,True,gemini,True
how do you cite an online article without any page numbers,gemini,1,wiki,False,wiki,False
how do you cite evidence,gemini,1,wiki,False,wiki,False
how do you create analogous colors,gemini,1,wiki,False,wiki,False
how do you get a virus,wiki,2,gemini,False,gemini,False
how do you make a division symbol on pages,gemini,2,gemini,True,gemini,True
how do you make a page in the pages app into grid paper,gemini,2,gemini,True,gemini,True
how do you simplify 6 plus x times 1/3,gemini,1,wiki,False,wiki,False
how does an LED work,wiki,1,wiki,True,wiki,True
how does social class show up in Emma by Jane Austen,wiki,1,wiki,True,wiki,True
how does the book The Elephant Man deal with The Human Condition,wiki,1,wiki,True,wiki,True
how does the Electoral College work,wiki,1,wiki,True,wiki,True
how does the heart pump blood,wiki,1,wiki,True,wiki,True
how far away can you hear thunder,wiki,1,wiki,True,wiki,True
how far away can you hear thunder over the oceans,wiki,1,wiki,True,wiki,True
how far away is it to the Sun,wiki,1,wiki,True,wiki,True
how far away is the Earth from the Sun,wiki,1,wiki,True,wiki,True
how far away is the Moon in miles,wiki,1,wiki,True,wiki,True
how far away is the Sun from Earth,wiki,1,wiki,True,wiki,True
how far in kilometers is it to the Moon,wiki,1,wiki,True,wiki,True
how far is it from Bradford on Avon to Glastonbury,gemini,2,gemini,True,gemini,True
how far is it to the Moon,wiki,1,wiki,True,wiki,True
how far is it to the Moon in miles,wiki,1,wiki,True,wiki,True
how far is the Moon,wiki,1,wiki,True,wiki,True
how far is the Moon away from the Earth,wiki,1,wiki,True,wiki,True
how far is the moon from the earth in kilometers,wiki,1,wiki,True,wiki,True
how far is the moon from the earth in km,wiki,1,wiki,True,wiki,True
how far is the moon from the earth in miles,wiki,1,wiki,True,wiki,True
how fast does the ocean waves at the beach like go,wiki,1,wiki,True,wiki,True
how how old is the city of Tallinn,wiki,3,bing,False,bing,False
how important is frogs to the ecosystem,wiki,1,wiki,True,wiki,True
how is chlorophyll like a solar panel,wiki,1,wiki,True,wiki,True
how is chlorophyll similar to a solar panel,wiki,1,wiki,True,wiki,True
how is chlorophyll similar to solar panels,wiki,1,wiki,True,wiki,True
how is math used in baseball,gemini,2,gemini,True,gemini,True
how is Snow White similar to Cinderella,wiki,1,wiki,True,wiki,True
how is the fear of Communism represented in The Crucible,wiki,1,wiki,True,wiki,True
how is the top of the troposphere called when the sun is above us,wiki,1,wiki,True,wiki,True
how is water made,wiki,1,wiki,True,wiki,True
how long does working memory last,wiki,1,wiki,True,wiki,True
how long is a mile in meters,gemini,2,gemini,True,gemini,True
how long will it take you to climb Mount Everest,wiki,3,bing,False,bing,False
how many arms does a squid have,wiki,1,wiki,True,wiki,True
how many arms does an octopus have,wiki,1,wiki,True,wiki,True
how many babies are born each day in the United States,wiki,1,wiki,True,wiki,True
how many bones are there in the human body,wiki,1,wiki,True,wiki,True
how many bones of the body,wiki,1,wiki,True,wiki,True
how many books are in the Diary of Wimpy Kid,wiki,1,wiki,True,wiki,True
how many calories in a hamburger patty,wiki,1,wiki,True,wiki,True
how many calories in one green pepper,wiki,1,wiki,True,wiki,True
how many calories in one leaf of lettuce,wiki,1,wiki,True,wiki,True
how many calories in one serving of mustard,wiki,1,wiki,True,wiki,True
how many casualties from covid-19,bing,3,bing,True,bing,True
how many Cherokee lost their lives in the Trail of Tears,wiki,1,wiki,True,wiki,True
how many Cherokee natives died in the Trail of Tears,wiki,1,wiki,True,wiki,True
how many Cherokees died in the Trail of Tears,wiki,1,wiki,True,wiki,True
how many countries are in the world,wiki,1,wiki,True,wiki,True
how many cups are in a pint,gemini,2,gemini,True,gemini,True
how many days are in the month of February,wiki,1,wiki,True,wiki,True
how many different kinds of frogs are there in the world,wiki,1,wiki,True,wiki,True
how many eyeballs does a squid have,wiki,1,wiki,True,wiki,True
how many eyes does a squid have,wiki,1,wiki,True,wiki,True
how many eyes does an octopus have,wiki,1,wiki,True,wiki,True
how many gallons of water are in the ocean,wiki,1,wiki,True,wiki,True
how many gold medals does the u.s. have in the Olympics,bing,1,wiki,False,wiki,False
how many inches are there in one ft,gemini,2,gemini,True,gemini,True
how many inches in 10 ft,gemini,2,gemini,True,gemini,True
how many inches in 11 ft,gemini,2,gemini,True,gemini,True
how many inches in one yd,gemini,2,gemini,True,gemini,True
how many iPhones are in the world,bing,1,wiki,False,wiki,False
how many kilometers is 21 MI,gemini,2,gemini,True,gemini,True
how many liters are in a gallon,gemini,2,gemini,True,gemini,True
how many meters is it to the Moon,wiki,1,wiki,True,wiki,True
how many millimeters are there in one cm,gemini,2,gemini,True,gemini,True
how many millimeters in 22 cm,gemini,2,gemini,True,gemini,True
how many millimeters in to centimeters,gemini,2,gemini,True,gemini,True
how many moons are around Saturn,wiki,1,wiki,True,wiki,True
how many moons does Neptune have,wiki,1,wiki,True,wiki,True
how many mph is 37.6 km,gemini,2,gemini,True,gemini,True
how many ounces in one pound,gemini,2,gemini,True,gemini,True
how many people are retired in the United States,wiki,1,wiki,True,wiki,True
how many people died from covid,bing,3,bing,True,bing,True
how many people live in Oxford,wiki,1,wiki,True,wiki,True
how many polar bears are in captivity,wiki,1,wiki,True,wiki,True
how many polar bears still exist,wiki,1,wiki,True,wiki,True
how many presidents have we had from Connecticut,wiki,1,wiki,True,wiki,True
how many presidents of the United States are there,wiki,1,wiki,True,wiki,True
how many seconds are in a week,gemini,1,wiki,False,wiki,False
how many Super Bowls did the 49ers win,wiki,1,wiki,True,wiki,True
how many Super Bowls did the Raiders win,wiki,1,wiki,True,wiki,True
how many Superbowls have the New England Patriots cheat in,wiki,2,gemini,False,gemini,False
how many teeth are in a cat's mouth,wiki,1,wiki,True,wiki,True
how many teeth are in a human's mouth,wiki,1,wiki,True,wiki,True
how many teeth did a Megalodon have,wiki,1,wiki,True,wiki,True
how many teeth do dogs have,wiki,1,wiki,True,wiki,True
how many teeth do orcas have,wiki,1,wiki,True,wiki,True
how many teeth does a great white shark have,wiki,1,wiki,True,wiki,True
how many teeth does a tiger shark have,wiki,1,wiki,True,wiki,True
how many tribes are there in the United States,wiki,1,wiki,True,wiki,True
how much does Alexa cost a year,bing,2,gemini,False,gemini,False
how much does Mount Everest weigh in kilograms,wiki,1,wiki,True,wiki,True
how much sugar does candy have,wiki,1,wiki,True,wiki,True
how much water does an almond tree need per day,wiki,1,wiki,True,wiki,True
how much would it cost to fly to Tampa Florida from Durango Colorado,gemini,2,gemini,True,gemini,True
how old is Belfast,wiki,3,bing,False,bing,False
how old is Estonia,wiki,3,bing,False,bing,False
how old is Marilyn Monroe,wiki,3,bing,False,bing,False
how old is the average first grader in the United States,wiki,1,wiki,True,wiki,True
how old is the city of Tallinn,wiki,1,wiki,True,wiki,True
how old is the Earth,wiki,1,wiki,True,wiki,True
how old is the moon,wiki,1,wiki,True,wiki,True
how old is the oldest person,bing,3,bing,True,bing,True
how old is the President of the United States,bing,3,bing,True,bing,True
how old is the Queen of England,bing,3,bing,True,bing,True
how tall is Mount Everest,wiki,1,wiki,True,wiki,True
how tall is the Eiffel Tower,wiki,1,wiki,True,wiki,True
how tall is the tallest man in the world,wiki,1,wiki,True,wiki,True
how to build a build a catapult,gemini,2,gemini,True,gemini,True
how to convert primitive data types in Java programming,gemini,2,gemini,True,gemini,True
how to find the volume of a sphere,wiki,1,wiki,True,wiki,True
how to solve quadratic equations,wiki,2,gemini,False,gemini,False
how to subtract fractions with dials,gemini,2,gemini,True,gemini,True
how to troubleshoot a computer network,gemini,2,gemini,True,gemini,True
how to write an inequality from a word problem.,gemini,2,gemini,True,gemini,True
how were the Hawaii Islands formed,wiki,1,wiki,True,wiki,True
how would I write an essay about American politics,gemini,2,gemini,True,gemini,True
I need primary sources on war crimes committed during the Holocaust,gemini,1,wiki,False,wiki,False
I need primary sources to support a research essay on war crimes committed during the Holocaust,gemini,1,wiki,False,wiki,False
I need sources on the planet Saturn,gemini,1,wiki,False,wiki,False
I want to learn more about horses,wiki,1,wiki,True,wiki,True
in kilometers what is 238855 MI,gemini,2,gemini,True,gemini,True
in what year did the Revolutionary War start,wiki,1,wiki,True,wiki,True
is AI going to take over the world,gemini,2,gemini,True,gemini,True
is Gandhi the goat,gemini,4,none,False,gemini,True
is Pluto a planet,wiki,1,wiki,True,wiki,True
is the earth flat,wiki,2,gemini,False,gemini,False
is the moon's orbit circular,wiki,1,wiki,True,wiki,True
is the NFL scripted,gemini,2,gemini,True,gemini,True
is the vocabulary word approached an adverb,gemini,1,wiki,False,wiki,False
is the word approached an adverb,gemini,1,wiki,False,wiki,False
is there a song called cyclone,wiki,2,gemini,False,gemini,False
is there a way to delete all of my promotions in Gmail at once,gemini,2,gemini,True,gemini,True
is there an answer for the 3x plus one conjecture,gemini,2,gemini,True,gemini,True
is water wet,wiki,1,wiki,True,wiki,True
let us talk about the major themes of Hamlet,wiki,1,wiki,True,wiki,True
share what a millipede looks like,wiki,1,wiki,True,wiki,True
Summarize the book Things Fall Apart,wiki,1,wiki,True,wiki,True
teach me about elephants,wiki,1,wiki,True,wiki,True
teach me about equivalent fractions,wiki,1,wiki,True,wiki,True
teach me about Saint Patrick's Day,wiki,1,wiki,True,wiki,True
teach me about sea turtles,wiki,1,wiki,True,wiki,True
teach me about wolves,wiki,1,wiki,True,wiki,True
teach us about giraffes,wiki,1,wiki,True,wiki,True
tell me a fact about Elon Musk,wiki,1,wiki,True,wiki,True
tell me about 911,wiki,1,wiki,True,wiki,True
tell me about African elephants,wiki,1,wiki,True,wiki,True
tell me about bears,wiki,1,wiki,True,wiki,True
tell me about bears and hibernating,wiki,1,wiki,True,wiki,True
tell me about black footed ferrets,wiki,1,wiki,True,wiki,True
tell me about cats,wiki,1,wiki,True,wiki,True
tell me about Donald Trump,wiki,1,wiki,True,wiki,True
tell me about how frogs interact in their ecosystem,wiki,1,wiki,True,wiki,True
tell me about hydrostatic weighing,wiki,1,wiki,True,wiki,True
tell me about photosynthesis,wiki,1,wiki,True,wiki,True
tell me about plant cells,wiki,1,wiki,True,wiki,True
tell me about school buses,wiki,1,wiki,True,wiki,True
tell me about the benefits of the drawbacks of the gambling industry,wiki,1,wiki,True,wiki,True
tell me about the best practices for setting up a business,wiki,2,gemini,False,gemini,False
tell me about the Bronze Age collapse,wiki,1,wiki,True,wiki,True
tell me about the difference between prokaryotic and eukaryotic cells in a full sentence,wiki,1,wiki,True,wiki,True
tell me about the first moon landing,wiki,1,wiki,True,wiki,True
tell me about the Himalayas,wiki,1,wiki,True,wiki,True
tell me about the Ice Age,wiki,1,wiki,True,wiki,True
tell me about the Long Walk of the Navajo,wiki,1,wiki,True,wiki,True
tell me about the Miller Urey experiment,wiki,1,wiki,True,wiki,True
tell me about the nucleus,wiki,1,wiki,True,wiki,True
tell me about the Oregon Trail,wiki,1,wiki,True,wiki,True
tell me about the slavery in during the Civil War,wiki,1,wiki,True,wiki,True
tell me about the universe,wiki,1,wiki,True,wiki,True
tell me about Wyoming,wiki,1,wiki,True,wiki,True
tell me about Yellowstone National Park,wiki,1,wiki,True,wiki,True
tell me the difference between a control group and experimental group,wiki,1,wiki,True,wiki,True
tell us some sculptures made out of gum,gemini,2,gemini,True,gemini,True
thank you tell me about Pearson Wyoming,wiki,1,wiki,True,wiki,True
the name of Thor's hammer,wiki,1,wiki,True,wiki,True
uniforms for Real Madrid,wiki,1,wiki,True,wiki,True
was Al Gore the president of the United States,wiki,4,none,False,gemini,False
what animal has the most teeth,wiki,1,wiki,True,wiki,True
what animals are on the endangered species list,wiki,1,wiki,True,wiki,True
what AR level is the boy who harnessed the wind,wiki,1,wiki,True,wiki,True
what are 2 equivalent fractions,gemini,1,wiki,False,wiki,False
what are challenges to AI.,wiki,1,wiki,True,wiki,True
what are different types of lava,wiki,1,wiki,True,wiki,True
what are examples of a quadratic function on a graph,wiki,2,gemini,False,gemini,False
what are examples of mental blindspots of society,wiki,1,wiki,True,wiki,True
what are kids,wiki,1,wiki,True,wiki,True
what are primary colors,wiki,1,wiki,True,wiki,True
what are some fun facts about elephants,wiki,1,wiki,True,wiki,True
what are some of the physical characteristics of the black-footed ferret,wiki,1,wiki,True,wiki,True
what are some resources for mental health awareness for adolescence,gemini,2,gemini,True,gemini,True
what are the 3 main strands of Elementary algebra,wiki,1,wiki,True,wiki,True
what are the 3 stages of memory,wiki,1,wiki,True,wiki,True
what are the benefits and disadvantages of the gambling industry,wiki,1,wiki,True,wiki,True
what are the causes of the Civil War,wiki,1,wiki,True,wiki,True
what are the human body systems,wiki,1,wiki,True,wiki,True
what are the iste standards,wiki,1,wiki,True,wiki,True
what are the kinematic equations,wiki,1,wiki,True,wiki,True
what are the major themes of the Elephant Man,wiki,1,wiki,True,wiki,True
what are the migration pattern of whales,wiki,1,wiki,True,wiki,True
what are the origins of covid,wiki,1,wiki,True,wiki,True
what are the origins of covid SARS virus,wiki,1,wiki,True,wiki,True
what are the origins of SARS,wiki,1,wiki,True,wiki,True
what are the primary colors,wiki,1,wiki,True,wiki,True
what are the properties of irregular bones,wiki,1,wiki,True,wiki,True
what are the rock houses in Turkey,wiki,1,wiki,True,wiki,True
what are the steps for solving a 2 step equation,gemini,2,gemini,True,gemini,True
what can I take for a cough,wiki,2,gemini,False,gemini,False
what can we do in Burlington.,gemini,2,gemini,True,gemini,True
what causes earthquakes,wiki,1,wiki,True,wiki,True
what causes January 6th,wiki,1,wiki,True,wiki,True
what color are frogs,wiki,1,wiki,True,wiki,True
what colors are in the rainbow,wiki,1,wiki,True,wiki,True
what day is Lincoln's birthday,wiki,1,wiki,True,wiki,True
what day is Washington's birthday,wiki,1,wiki,True,wiki,True
what do black-footed ferret eat,wiki,1,wiki,True,wiki,True
what do frogs eat for dinner,wiki,1,wiki,True,wiki,True
what does a groundhog look like,wiki,1,wiki,True,wiki,True
what does CBE stand for in time,wiki,1,wiki,True,wiki,True
what does GTA stand for,wiki,1,wiki,True,wiki,True
what does it mean to say evidence,wiki,1,wiki,True,wiki,True
what does potassium do in the human body,wiki,1,wiki,True,wiki,True
what does the kidney bladder look like,wiki,1,wiki,True,wiki,True
what does the name Sydney mean,wiki,1,wiki,True,wiki,True
what effects does the hummingbird have on the ecosystem,wiki,1,wiki,True,wiki,True
what happened on September 11th 2001,wiki,3,bing,False,bing,False
what is 101 cm in Ft,gemini,2,gemini,True,gemini,True
what is 20 km in standard measurement,gemini,2,gemini,True,gemini,True
what is 3/4 of 12 in,gemini,2,gemini,True,gemini,True
what is 3/4 of a foot,gemini,2,gemini,True,gemini,True
what is a benthic theater,wiki,1,wiki,True,wiki,True
what is a biconditional statement,wiki,1,wiki,True,wiki,True
what is a blue pit,wiki,1,wiki,True,wiki,True
what is a brontosaurus,wiki,1,wiki,True,wiki,True
what is a carrot,wiki,1,wiki,True,wiki,True
what is a cat,wiki,1,wiki,True,wiki,True
what is a cerebral hemorrhage,wiki,1,wiki,True,wiki,True
what is a claim,wiki,1,wiki,True,wiki,True
what is a claim in an argument,wiki,1,wiki,True,wiki,True
what is a cop,wiki,1,wiki,True,wiki,True
what is a female dog called,wiki,1,wiki,True,wiki,True
what is a googolplex,wiki,1,wiki,True,wiki,True
what is a habitat,wiki,1,wiki,True,wiki,True
what is a joule broken-up,wiki,1,wiki,True,wiki,True
what is a main idea,wiki,1,wiki,True,wiki,True
what is a medal of honor,wiki,1,wiki,True,wiki,True
what is a Molotov cocktail,wiki,1,wiki,True,wiki,True
what is a neutron star,wiki,1,wiki,True,wiki,True
what is a noun,wiki,1,wiki,True,wiki,True
what is a physicist,wiki,1,wiki,True,wiki,True
what is a plant cell,wiki,1,wiki,True,wiki,True
what is a polynomial,wiki,1,wiki,True,wiki,True
what is a product of photosynthesis,wiki,1,wiki,True,wiki,True
what is a responsibility,wiki,1,wiki,True,wiki,True
what is a table,wiki,1,wiki,True,wiki,True
what is a turbot,wiki,1,wiki,True,wiki,True
what is a Tyrannosaurus Rex,wiki,1,wiki,True,wiki,True
what is algebra,wiki,1,wiki,True,wiki,True
what is an argumentative essay,wiki,1,wiki,True,wiki,True
what is an asterism,wiki,1,wiki,True,wiki,True
what is an English bulldog,wiki,1,wiki,True,wiki,True
what is an insurrection,wiki,1,wiki,True,wiki,True
what is an octothorpe,wiki,1,wiki,True,wiki,True
what is Astrology,wiki,1,wiki,True,wiki,True
what is Belfast famous for,wiki,1,wiki,True,wiki,True
what is bya in terms of measurement stand for,wiki,1,wiki,True,wiki,True
what is canva,wiki,1,wiki,True,wiki,True
what is causing climate change,wiki,1,wiki,True,wiki,True
what is central idea,wiki,1,wiki,True,wiki,True
what is chickens,wiki,1,wiki,True,wiki,True
what is citing evidence,wiki,1,wiki,True,wiki,True
what is claustrophobia,wiki,1,wiki,True,wiki,True
what is claustrophobic,wiki,1,wiki,True,wiki,True
what is Debbie Does Dallas,wiki,2,gemini,False,gemini,False
what is Fermat's Last Theorem,wiki,1,wiki,True,wiki,True
what is Groundhog Day,wiki,1,wiki,True,wiki,True
what is gvt,wiki,1,wiki,True,wiki,True
what is human centered design,wiki,1,wiki,True,wiki,True
what is human trafficking,wiki,1,wiki,True,wiki,True
what is Isaac Newton's most famous for,wiki,1,wiki,True,wiki,True
what is Jupiter's largest moon,wiki,1,wiki,True,wiki,True
what is mitosis,wiki,1,wiki,True,wiki,True
what is Newton's law of inertia,wiki,1,wiki,True,wiki,True
what is Newton's third law of motion,wiki,1,wiki,True,wiki,True
what is one divided by 0,gemini,1,wiki,False,wiki,False
what is one of the products of photosynthesis,wiki,1,wiki,True,wiki,True
what is OPS in baseball,wiki,1,wiki,True,wiki,True
what is Pennsylvania's state fruit,wiki,1,wiki,True,wiki,True
what is perimeter,wiki,1,wiki,True,wiki,True
what is pi,wiki,1,wiki,True,wiki,True
what is pi r squared,wiki,1,wiki,True,wiki,True
what is racism,wiki,1,wiki,True,wiki,True
what is slavery,wiki,1,wiki,True,wiki,True
what is the average amount of water per day that an almond tree needs,wiki,1,wiki,True,wiki,True
what is the average male height in the US,wiki,1,wiki,True,wiki,True
what is the average temperature in Minnesota in the winter,wiki,1,wiki,True,wiki,True
what is the best rated bed and breakfast in Vancouver Washington,gemini,2,gemini,True,gemini,True
what is the best way to learn about computers,gemini,2,gemini,True,gemini,True
what is the best way to stack bowls in a container,gemini,2,gemini,True,gemini,True
what is the boiling point of water,wiki,1,wiki,True,wiki,True
what is the boiling point of water in centigrade,wiki,1,wiki,True,wiki,True
what is the capital of China,wiki,1,wiki,True,wiki,True
what is the capital of England,wiki,1,wiki,True,wiki,True
what is the capital of Estonia,wiki,1,wiki,True,wiki,True
what is the capital of Thailand,wiki,1,wiki,True,wiki,True
what is the capital of the United States,wiki,1,wiki,True,wiki,True
what is the cause of the Civil War,wiki,1,wiki,True,wiki,True
what is the cause of the of the slavery,wiki,1,wiki,True,wiki,True
what is the cheese production in Wisconsin,wiki,1,wiki,True,wiki,True
what is the circumference of the Earth,wiki,1,wiki,True,wiki,True
what is the computer repair process,wiki,1,wiki,True,wiki,True
what is the control center of the cell,wiki,1,wiki,True,wiki,True
what is the current best graphics card,gemini,3,bing,False,bing,False
what is the date of Christmas,wiki,1,wiki,True,wiki,True
what is the date of Mardi Gras 2024,bing,3,bing,True,bing,True
what is the density of water,wiki,1,wiki,True,wiki,True
what is the diameter of Ganymede,wiki,1,wiki,True,wiki,True
what is the difference between a 4090 and a 39in,gemini,1,wiki,False,wiki,False
what is the difference between a frog and a toad,wiki,1,wiki,True,wiki,True
what is the difference between a fruit and a vegetable,wiki,1,wiki,True,wiki,True
what is the difference between a prokaryotic and eukaryotic cell,wiki,1,wiki,True,wiki,True
what is the difference between a squid and an octopus,wiki,1,wiki,True,wiki,True
what is the difference between a vegetable and a fruit,wiki,1,wiki,True,wiki,True
what is the difference from the Intel Iris taxi and the RTX 4090,gemini,1,wiki,False,wiki,False
what is the distance between Washington to Beijing,gemini,2,gemini,True,gemini,True
what is the distance to the Moon,wiki,1,wiki,True,wiki,True
what is the divisibility rule for 9,gemini,1,wiki,False,wiki,False
