# Combination of agents: ['wiki', 'gemini']

# Prompt: <s>You are a classroom assistant. Your job is to determine which of the following categories best fits a user's query. Please only provide the category number in your response. The available categories are as follows:

1. The user is asking for factual information that could be found in a textbook or encyclopedia, including general description or explanations of terms and concepts.
For example: "What is the capital of France?", "Tell us about World War II", "What are protozoa?", "When did Darwin visit the Galapagos Islands?", "Please explain photosynthesis", "How tall is Mount Kilimanjaro?", "Why do we sneeze?", "What was the Roman empire?", "What mammal has the longest tail?", "Teach me about the Krebs cycle", "Who won the Spanish-American war?", "How far away is the sun?, "What is the pancreas?"

2. The user is engaging in general conversation, including but not limited to: personal chat; matters of taste or opinion; solving math problems or converting units; map directions and distances between cities; requests for creative assistance or writing; requests for images, videos or resources; requests for lesson plans, classroom advice, activities, and quizzes; requests for translation, jokes, or predictions.
For example: "What is 26 miles in kilometers?", "Show me pictures of dogs", "What is the square root of 9?", "How do you say 'welcome' in Spanish?", "Solve for x: x + 7x = 16", "Who is the best football player?", "How long does it take to fly from Los Angeles to Seattle?", "Write me a letter of recommendation", "Who will win the next world cup?", "Is 3/5 greater than 1/2?", "How many liters are in 5 gallons?", "Give me a lesson plan for 4th grade civics", "How are you?", "What should I do for my birthday?", "Write me a haiku"

3. Use this category only if the user query does not fit in any of the categories above.

# accuracy: 0.9174
# precision: [0.9234 0.     0.921 ]
# recall: [0.8282 0.     0.9631]
# fscore: [0.8732 0.     0.9416]
# support: [291   0 569]

# accuracy_after_default: 0.9209
# precision_after_default: [0.9208 0.921 ]
# recall_after_default: [0.8385 0.9631]
# fscore_after_default: [0.8777 0.9416]
# support_after_default: [291 569]

# time per query: 0.2506

query,route,mistral_7b_response,mistral_7b_category,correctness,defaulted_category,defaulted_correctness
I have an engineering class with 17 year old students I am teaching them about 3D printing could you come up with some lessons resources on how I can produce this for my students,gemini,2,gemini,True,gemini,True
create 10 test questions on enlightenment philosophers,gemini,2,gemini,True,gemini,True
what will make my students settle down,gemini,2,gemini,True,gemini,True
what will make my student stop talking,gemini,2,gemini,True,gemini,True
what are some strategies for teaching multilingual in my classroom,gemini,2,gemini,True,gemini,True
how do I get my students to stop talking when they are supposed to be working,gemini,2,gemini,True,gemini,True
how to make children behave,gemini,2,gemini,True,gemini,True
lessons for multiplying whole numbers by decimals,gemini,2,gemini,True,gemini,True
activities for multiplying fractions by whole numbers,gemini,2,gemini,True,gemini,True
teacher lesson plans for multiplying fractions by whole numbers,gemini,2,gemini,True,gemini,True
write me a lesson plan for skip counting by 5,gemini,2,gemini,True,gemini,True
we are working on the Pythagorean theorem do you have any suggestions,gemini,2,gemini,True,gemini,True
come up with some questions. Year 13 students,gemini,2,gemini,True,gemini,True
I need a sample order of operations problem and do not give the answer with it,gemini,2,gemini,True,gemini,True
give me a multiplication problem that is 2 digits by 2 digits,gemini,2,gemini,True,gemini,True
I need an example of a model student essay about Hatchet by Gary Paulsen about the theme of love,gemini,2,gemini,True,gemini,True
can you give me a basic 5 paragraph essay outline,gemini,2,gemini,True,gemini,True
can you provide me with some multiple-choice questions on 3D printing,gemini,2,gemini,True,gemini,True
can you give me the top tips for proof reading other people's papers,gemini,2,gemini,True,gemini,True
can you give us a sample problem to solve with order of operations,gemini,2,gemini,True,gemini,True
can you give us a sample problem with order of operations without the answer,gemini,2,gemini,True,gemini,True
can you make a high school senior schedule,gemini,2,gemini,True,gemini,True
what should I eat for lunch,gemini,2,gemini,True,gemini,True
tell me a sentence in Spanish,gemini,2,gemini,True,gemini,True
write me a letter of recommendation for a teacher,gemini,2,gemini,True,gemini,True
write a Haiku poem,gemini,2,gemini,True,gemini,True
ask me a would you rather question,gemini,2,gemini,True,gemini,True
can you show us a 2 digit numbers to solve problems for 1st graders,gemini,2,gemini,True,gemini,True
who is going to win the Superbowl this year,gemini,2,gemini,True,gemini,True
how many days till the 25th of June,gemini,2,gemini,True,gemini,True
how many days till 27th,gemini,2,gemini,True,gemini,True
how many days till 27th of February,gemini,2,gemini,True,gemini,True
hey can you make me a 5 question quiz,gemini,2,gemini,True,gemini,True
how much wood could a woodchuck chuck if a woodchuck could chuck wood,gemini,2,gemini,True,gemini,True
why did the chicken cross the road,gemini,2,gemini,True,gemini,True
what is going on,gemini,2,gemini,True,gemini,True
where we at right now,gemini,2,gemini,True,gemini,True
what is the answer to life,gemini,2,gemini,True,gemini,True
list 20 argumentative essay topics,gemini,2,gemini,True,gemini,True
what is √ -1,gemini,2,gemini,True,gemini,True
what is 5000 divided by 286,gemini,2,gemini,True,gemini,True
what is 35 times 12,gemini,2,gemini,True,gemini,True
what is 110 divided by 0,gemini,2,gemini,True,gemini,True
what is 7 times 5,gemini,2,gemini,True,gemini,True
what is 12 times 12,gemini,2,gemini,True,gemini,True
what is 6 divided by 0,gemini,2,gemini,True,gemini,True
what is 6240 divided by 52,gemini,2,gemini,True,gemini,True
what is 67 times 34,gemini,2,gemini,True,gemini,True
what is 50 x 60,gemini,2,gemini,True,gemini,True
what is 7 times 3,gemini,2,gemini,True,gemini,True
what is 7 times 1300,gemini,2,gemini,True,gemini,True
what is 7 times 2569000,gemini,2,gemini,True,gemini,True
what is one plus one,gemini,2,gemini,True,gemini,True
what is 1000000 plus 1000,gemini,2,gemini,True,gemini,True
what is 30 times 2,gemini,2,gemini,True,gemini,True
what is 204 x 4,gemini,2,gemini,True,gemini,True
what is 106 minus 986,gemini,2,gemini,True,gemini,True
what is 1006 minus 986,gemini,2,gemini,True,gemini,True
what is 2 plus 2,gemini,2,gemini,True,gemini,True
what is 5 times 2418,gemini,2,gemini,True,gemini,True
what is 142 times 528,gemini,2,gemini,True,gemini,True
what is 67 x 34,gemini,2,gemini,True,gemini,True
what is 87 divided by 4,gemini,2,gemini,True,gemini,True
what is 800 times 2844,gemini,2,gemini,True,gemini,True
what is 800 x 254,gemini,2,gemini,True,gemini,True
what is 1000 divided by 256,gemini,2,gemini,True,gemini,True
what is 17 times 44,gemini,2,gemini,True,gemini,True
what is 285 x 15,gemini,2,gemini,True,gemini,True
what is 2850 x 150,gemini,2,gemini,True,gemini,True
what is 2850 times 150,gemini,2,gemini,True,gemini,True
what percentage would that be 18 divided by 25,gemini,2,gemini,True,gemini,True
what is 52 times 38,gemini,2,gemini,True,gemini,True
what is 258 x 45,gemini,2,gemini,True,gemini,True
solve x plus 2 equals 34 x,gemini,2,gemini,True,gemini,True
calculate one plus one,gemini,2,gemini,True,gemini,True
solve the equation x minus 32 is equal to 45,gemini,2,gemini,True,gemini,True
8 x 55,gemini,2,gemini,True,gemini,True
divide 7680 by 927,gemini,2,gemini,True,gemini,True
156 divided by 8492,gemini,2,gemini,True,gemini,True
what is √ 172,gemini,2,gemini,True,gemini,True
what is √ 2078,gemini,2,gemini,True,gemini,True
what is 4850 x 150,gemini,2,gemini,True,gemini,True
what is 85% of 19,gemini,2,gemini,True,gemini,True
what is the best thing to eat for dinner,gemini,2,gemini,True,gemini,True
what is the best way to make salsa,gemini,2,gemini,True,gemini,True
what should we do tonight,gemini,2,gemini,True,gemini,True
how would you start a design project,gemini,2,gemini,True,gemini,True
what is a good book that I should read,gemini,2,gemini,True,gemini,True
who will win the Superbowl,gemini,2,gemini,True,gemini,True
how can we ensure that a i is used for good and not for harn,gemini,2,gemini,True,gemini,True
how can we ensure that artificial intelligence is used for good,gemini,2,gemini,True,gemini,True
what is your opinion of daylight savings time,gemini,2,gemini,True,gemini,True
are the 49ers of best team,gemini,2,gemini,True,gemini,True
who is the best football team,gemini,2,gemini,True,gemini,True
who is the best NFL team,gemini,2,gemini,True,gemini,True
who is better Messi or Ronaldo,gemini,2,gemini,True,gemini,True
who is going to win the Superbowl,gemini,2,gemini,True,gemini,True
who will win the Superbowl Chiefs or 49ers,gemini,2,gemini,True,gemini,True
who is the greatest basketball player of all time,gemini,2,gemini,True,gemini,True
are the Eagles better than the 49ers,gemini,2,gemini,True,gemini,True
who is the worst NFL football team,gemini,2,gemini,True,gemini,True
who is the worst NFL team,gemini,2,gemini,True,gemini,True
who is better NC State or UNC,gemini,2,gemini,True,gemini,True
who is better UNC or Duke,gemini,2,gemini,True,gemini,True
who is the best NBA team,gemini,2,gemini,True,gemini,True
who is the best team in the NHL,gemini,2,gemini,True,gemini,True
what is the best soccer team in the world,gemini,2,gemini,True,gemini,True
who is the best soccer player in the world,gemini,2,gemini,True,gemini,True
which soccer player is better Ronaldo or Messi,gemini,2,gemini,True,gemini,True
who is the best NBA player,gemini,2,gemini,True,gemini,True
who is the best rapper of all time,gemini,2,gemini,True,gemini,True
who is the best rapper ever,gemini,2,gemini,True,gemini,True
who is the best team in MLB,gemini,2,gemini,True,gemini,True
who is the best singer of all time,gemini,2,gemini,True,gemini,True
who is the better hockey team the Minnesota Wild or the Pittsburgh Penguins,gemini,2,gemini,True,gemini,True
who is the best soccer player of all time,gemini,2,gemini,True,gemini,True
who is the best current soccer player,gemini,2,gemini,True,gemini,True
who is the best NFL football team,gemini,2,gemini,True,gemini,True
who is the best ACC basketball team,gemini,2,gemini,True,gemini,True
who is better duke or UNC,gemini,2,gemini,True,gemini,True
who is better UNC or North Carolina State,gemini,2,gemini,True,gemini,True
who is better North Carolina state or Wake Forest University,gemini,2,gemini,True,gemini,True
who is the best current hockey player,gemini,2,gemini,True,gemini,True
who is the best NHL team,gemini,2,gemini,True,gemini,True
what was the best movie created the 1970s,gemini,2,gemini,True,gemini,True
what are some classroom activities for 8th grade science?,gemini,2,gemini,True,gemini,True
give me some activities to do with my 5th graders on photosynthesis,gemini,2,gemini,True,gemini,True
what would be some good group activities on the american revolution?,gemini,2,gemini,True,gemini,True
my 7th graders are learning about the electoral college. can you suggest some learning activities?,gemini,2,gemini,True,gemini,True
classroom activities for learning about different forms of government,gemini,2,gemini,True,gemini,True
what are some small group activities we can do about Romeo and Juliet?,gemini,2,gemini,True,gemini,True
our class is studying the water cyle. what are some fun activities we could do about that?,gemini,2,gemini,True,gemini,True
give me an idea for a classroom activity about propaganda,gemini,2,gemini,True,gemini,True
I need some classroom activity suggestions about geometry for 4th graders,gemini,2,gemini,True,gemini,True
what small group activites could we do if we're learning about the food web?,gemini,2,gemini,True,gemini,True
show me photos of bengal tigers,gemini,2,gemini,True,gemini,True
can you show me videos about the amazon rainforest?,gemini,2,gemini,True,gemini,True
find pictures of lyndon johnson please,gemini,2,gemini,True,gemini,True
show us some fun chemistry videos,gemini,2,gemini,True,gemini,True
show me images of cats,gemini,2,gemini,True,gemini,True
please search for videos about watergate,gemini,2,gemini,True,gemini,True
show me pictures of dinosaurs,gemini,2,gemini,True,gemini,True
search for videos of albert einstein speaking german,gemini,2,gemini,True,gemini,True
can you show a picture of the eiffel tower please,gemini,2,gemini,True,gemini,True
find educational videos about fractions,gemini,2,gemini,True,gemini,True
tell me a story about a princess and a dragon,gemini,2,gemini,True,gemini,True
tell me a joke about bears,gemini,2,gemini,True,gemini,True
write a poem about the dolphins,gemini,2,gemini,True,gemini,True
give me 10 creative writing prompts,gemini,2,gemini,True,gemini,True
how long is it from houston to chicago by car?,gemini,2,gemini,True,gemini,True
"should I eat dinner out tonight, or cook at home?",gemini,2,gemini,True,gemini,True
what's your favorite food?,gemini,2,gemini,True,gemini,True
"translate this sentence into French: ""I love you""",gemini,2,gemini,True,gemini,True
will you be my friend?,gemini,2,gemini,True,gemini,True
do you believe in God?,gemini,2,gemini,True,gemini,True
can you help me with my homework?,gemini,2,gemini,True,gemini,True
what's your favorite tv show?,gemini,2,gemini,True,gemini,True
write a paragraph in the style of shakespeare,gemini,2,gemini,True,gemini,True
can you give me some ideas for birthday gifts for my mom?,gemini,2,gemini,True,gemini,True
are you a republican or a democrat?,gemini,2,gemini,True,gemini,True
what's your favorite color?,gemini,2,gemini,True,gemini,True
can you give me some ideas for classroom projects?,gemini,2,gemini,True,gemini,True
give me 10 multiple choice questions on U.S. civics,gemini,2,gemini,True,gemini,True
create a short quiz on the periodic table,gemini,2,gemini,True,gemini,True
give me 5 practice questions on the digestive system,gemini,2,gemini,True,gemini,True
What is the speed of light in meters per second?,wiki,1,wiki,True,wiki,True
What is the speed of light in miles per second?,wiki,1,wiki,True,wiki,True
What is the speed of light in m/s?,wiki,1,wiki,True,wiki,True
Can you explain abortion?,wiki,1,wiki,True,wiki,True
What's the leegal age to drinl alcohol in US?,wiki,1,wiki,True,wiki,True
Who assassinated the Romanov family?,wiki,1,wiki,True,wiki,True
What is the formula for simple interest?,wiki,1,wiki,True,wiki,True
Who is the prime minister of UK?,wiki,1,wiki,True,wiki,True
what does c stand for in e=mc2?,wiki,1,wiki,True,wiki,True
what does c stand for in e=mc squared?,wiki,1,wiki,True,wiki,True
what does c stand for in e=mc^2?,wiki,1,wiki,True,wiki,True
Which is the most dangerous spider?,wiki,1,wiki,True,wiki,True
What is the capital of Turkey?,wiki,1,wiki,True,wiki,True
Can you explain why countries should have favourable LGBTQ policies?,wiki,1,wiki,True,wiki,True
Can you explain why countries should have favorable LGBTQ policies?,wiki,1,wiki,True,wiki,True
What's the leegal age to drinc alcohol in US?,wiki,1,wiki,True,wiki,True
What is the Das capital of Lithuania?,wiki,1,wiki,True,wiki,True
32nd president of the United States,wiki,1,wiki,True,wiki,True
are sharks mammals,wiki,1,wiki,True,wiki,True
at what age do you stop growing,wiki,1,wiki,True,wiki,True
at what age do your plate stop growing,wiki,1,wiki,True,wiki,True
author of anthem,wiki,1,wiki,True,wiki,True
author of the novel anthem,wiki,1,wiki,True,wiki,True
can a fish drown,wiki,1,wiki,True,wiki,True
can hurricanes form at the equator,wiki,1,wiki,True,wiki,True
can you explain the Dark Ages,wiki,1,wiki,True,wiki,True
can you give me information about the Pythagorean theorem,wiki,1,wiki,True,wiki,True
can you tell me about Elon Musk,wiki,1,wiki,True,wiki,True
can you tell me about Linda Brown,wiki,1,wiki,True,wiki,True
can you tell me about the eating behavior of whales,wiki,1,wiki,True,wiki,True
can you tell me about the US presidents,wiki,1,wiki,True,wiki,True
Columbus came to America when,wiki,1,wiki,True,wiki,True
compare and contrast The Crucible and McCarthyism,wiki,1,wiki,True,wiki,True
describe equivalent fraction,wiki,1,wiki,True,wiki,True
describe photosynthesis,wiki,1,wiki,True,wiki,True
describe the ecosystem from a frogs perspective,wiki,1,wiki,True,wiki,True
describe the ecosystem from a hummingbirds perspective,wiki,1,wiki,True,wiki,True
describe the history of mathematics,wiki,1,wiki,True,wiki,True
describe the process of meiosis,wiki,1,wiki,True,wiki,True
describe the process of photosynthesis,wiki,1,wiki,True,wiki,True
describe the water cycle to me,wiki,1,wiki,True,wiki,True
did Al Gore win presidency,wiki,1,wiki,True,wiki,True
did Franklin Pierce ever married,wiki,1,wiki,True,wiki,True
do beluga whale have teeth,wiki,1,wiki,True,wiki,True
do hurricanes form at the equator,wiki,1,wiki,True,wiki,True
do we yawn because we need more oxygen,wiki,1,wiki,True,wiki,True
does it hurt to give birth to a baby,wiki,1,wiki,True,wiki,True
does lightning always touch ground,wiki,1,wiki,True,wiki,True
does your bone marrow grow back,wiki,1,wiki,True,wiki,True
examples of dystopian fiction,wiki,1,wiki,True,wiki,True
explain ecosystems from the perspective of a frog,wiki,1,wiki,True,wiki,True
explain pi r squared,wiki,1,wiki,True,wiki,True
explain primary colors to me as if I was a child,wiki,1,wiki,True,wiki,True
explain primary colors to me as if I was a college student,wiki,1,wiki,True,wiki,True
explain primary colors to me as if I was in grade 3,wiki,1,wiki,True,wiki,True
explain the Dark Ages,wiki,1,wiki,True,wiki,True
explain the historical relevance of the Dark Ages,wiki,1,wiki,True,wiki,True
Explain the law of motion,wiki,1,wiki,True,wiki,True
explain the lifecycle of rain,wiki,1,wiki,True,wiki,True
explain the water cycle,wiki,1,wiki,True,wiki,True
first president of the United States,wiki,1,wiki,True,wiki,True
give an example of force,wiki,1,wiki,True,wiki,True
give an example of push,wiki,1,wiki,True,wiki,True
give me a specific example of fear in The Crucible,wiki,1,wiki,True,wiki,True
Give me a summary of the Articles of the Constitution,wiki,1,wiki,True,wiki,True
give us a Black History Month fact,wiki,1,wiki,True,wiki,True
help me understand photosynthesis,wiki,1,wiki,True,wiki,True
how big is Norman Island in area,wiki,1,wiki,True,wiki,True
how big was the first computer,wiki,1,wiki,True,wiki,True
how did Abraham Lincoln die,wiki,1,wiki,True,wiki,True
how did the Anglo-Saxons come to be,wiki,1,wiki,True,wiki,True
how did the Middle Ages and the Renaissance Era differ,wiki,1,wiki,True,wiki,True
how did the world population respond to the Green Revolution,wiki,1,wiki,True,wiki,True
how did Trotsky die,wiki,1,wiki,True,wiki,True
how do elephants communicate with their trunks,wiki,1,wiki,True,wiki,True
how do frogs play a role in their environment,wiki,1,wiki,True,wiki,True
how do we tell the wind speed,wiki,1,wiki,True,wiki,True
how does an LED work,wiki,1,wiki,True,wiki,True
